Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-December-2022,8878.95,8878.95,8765.65,8793.80,8794.607284243863816310,8841,1831,77753123.00,3380,38.23,113.30,-85.15
2-December-2022,8775.00,8936.00,8756.80,8815.10,8824.559714693295292439,17525,3410,154650409.00,5663,32.31,179.20,40.10
1-December-2022,8996.05,9021.25,8931.25,8956.40,8965.335364117747537436,17563,2920,157458185.00,7235,41.19,90.00,-39.65
30-November-2022,8957.95,9006.00,8870.10,8976.95,8896.453545664331302883,48101,2949,427928312.00,42033,87.38,135.90,19.00
29-November-2022,8985.00,9024.95,8890.00,8911.35,8951.205582900681006000,14831,3890,132755330.00,5010,33.78,134.95,-73.65
28-November-2022,9025.00,9100.00,8960.00,9004.90,9034.804881550610193826,13930,2410,125854832.00,8677,62.29,140.00,-20.10
25-November-2022,8966.05,9076.95,8947.35,9016.60,9030.934750407347059694,27004,5170,243871362.00,21096,78.12,129.60,50.55
24-November-2022,8936.35,8990.00,8916.05,8951.95,8951.322799403227994032,14746,2588,131996206.00,7657,51.93,73.95,15.60
23-November-2022,8949.00,8989.95,8903.70,8936.30,8947.329625706214689265,16992,2770,152033025.00,9931,58.45,86.25,-12.70
22-November-2022,8885.00,8932.95,8860.05,8870.55,8877.717709289145571328,18527,2172,164477476.00,13998,75.55,72.90,-14.45
21-November-2022,8844.95,8929.95,8790.00,8861.60,8839.923123581435391719,51108,9008,451790791.00,43632,85.37,139.95,16.65
18-November-2022,9023.00,9025.00,8836.80,8844.95,8862.094592453428099323,44179,6316,391518477.00,37087,83.95,188.20,-178.05
17-November-2022,9100.00,9165.00,8965.10,8985.85,9040.135868707590342433,12674,2760,114574682.00,4303,33.95,199.90,-114.15
16-November-2022,9155.00,9249.90,9108.60,9135.05,9176.948073784679293803,20221,3305,185567067.00,13944,68.96,141.30,-19.95
15-November-2022,9173.00,9200.00,9129.85,9159.00,9160.538166594126303135,48249,7554,441986806.00,32383,67.12,70.15,-14.00
14-November-2022,9098.95,9160.00,8992.95,9152.40,9127.330000000000000000,12400,2620,113178892.00,5248,42.32,167.05,53.45
11-November-2022,9200.00,9234.20,9048.45,9088.30,9119.445191440518160203,12197,1821,111229873.00,4155,34.07,185.75,-111.70
10-November-2022,9224.00,9250.45,9074.80,9086.05,9115.361214768969388064,32961,4342,300451421.00,25588,77.63,175.65,-137.95
9-November-2022,9401.05,9472.40,9220.40,9248.85,9278.022188971205430458,27401,3815,254227086.00,20745,75.71,252.00,-152.20
7-November-2022,9250.55,9350.75,9250.55,9321.05,9316.126862719240406171,22749,4292,211932570.00,17205,75.63,100.20,70.50
4-November-2022,9250.00,9324.40,9194.75,9226.55,9238.721594634594128777,53379,9448,493153720.00,47166,88.36,129.65,-23.45
3-November-2022,9220.00,9308.55,9162.95,9236.35,9226.856316912497787054,214646,3215,1980507801.00,204934,95.48,145.60,16.35
2-November-2022,9454.35,9460.25,9212.00,9228.25,9287.136189956331877729,18320,4162,170140335.00,6592,35.98,248.25,-226.10
1-November-2022,9649.95,9649.95,9377.15,9455.35,9493.045586563960095971,15838,3291,150350856.00,3653,23.06,272.80,-194.60
31-October-2022,9641.50,9768.65,9453.00,9525.55,9638.256440554878574154,81243,15340,783040868.00,33386,41.09,315.65,-115.95
