Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-December-2022,2615.00,2655.00,2607.10,2620.30,2633.212238245402685752,28223,5233,74317149.00,17439,61.79,47.90,5.30
5-December-2022,2609.00,2629.15,2595.55,2621.30,2614.781265995563896945,5861,996,15325233.00,1684,28.73,33.60,12.30
2-December-2022,2575.00,2625.00,2554.20,2608.90,2594.765505020673360897,10158,1372,26357628.00,2769,27.26,70.80,33.90
1-December-2022,2565.10,2603.25,2548.90,2577.35,2578.078657337540586271,21867,2368,56374846.00,8746,40.00,54.35,12.25
30-November-2022,2507.30,2570.00,2507.30,2563.70,2541.874546675621222296,7445,937,18924256.00,2391,32.12,62.70,56.40
29-November-2022,2522.05,2562.10,2506.15,2511.70,2534.173382548959294576,19506,2093,49431586.00,7642,39.18,55.95,-10.35
28-November-2022,2510.15,2544.00,2502.00,2527.15,2525.631108775617446137,15224,1774,38450208.00,3680,24.17,42.00,17.00
25-November-2022,2460.90,2512.80,2458.90,2503.60,2490.127398381376739110,10997,1237,27383931.00,3560,32.37,53.90,42.70
24-November-2022,2484.95,2484.95,2449.50,2460.90,2460.849059982094897045,5585,918,13743842.00,2311,41.38,35.45,-24.05
23-November-2022,2458.70,2478.50,2444.30,2458.90,2461.659386164339071126,12316,1034,30317797.00,6345,51.52,34.20,0.20
22-November-2022,2453.80,2493.65,2441.40,2458.70,2472.143495428096425602,9624,877,23791909.00,2807,29.17,52.25,4.90
21-November-2022,2425.05,2461.55,2420.00,2456.25,2443.714280151854375547,102730,1895,251042768.00,80461,78.32,41.55,31.20
18-November-2022,2448.05,2470.00,2417.75,2460.10,2440.421326215228996909,7118,976,17370919.00,1526,21.44,52.25,12.05
17-November-2022,2450.05,2483.75,2441.95,2446.85,2456.485969632904093792,10406,1070,25562193.00,3321,31.91,41.80,-3.20
16-November-2022,2430.05,2510.95,2430.05,2465.70,2479.756307888853401469,9393,1163,23292351.00,2324,24.74,80.90,35.65
15-November-2022,2436.05,2514.95,2436.05,2477.80,2477.111954931681658314,32129,2600,79587130.00,3996,12.44,78.90,41.75
14-November-2022,2390.10,2455.65,2377.55,2434.90,2426.700171526586620926,17490,2035,42442986.00,4431,25.33,78.10,44.80
11-November-2022,2409.00,2430.00,2382.90,2391.25,2408.082679971489665003,5612,731,13514160.00,1388,24.73,47.10,-17.75
10-November-2022,2405.05,2464.00,2379.05,2388.75,2416.893665372597291923,10561,1244,25524814.00,3951,37.41,84.95,-16.30
9-November-2022,2467.60,2505.00,2429.05,2435.30,2466.390631613601091097,21263,2892,52442864.00,10012,47.09,75.95,-32.30
7-November-2022,2494.55,2503.45,2452.60,2485.95,2484.619656695275393717,24002,2535,59635841.00,8761,36.50,50.85,-8.60
4-November-2022,2442.35,2514.55,2442.35,2481.20,2486.766453333333333333,18750,2227,46626871.00,7986,42.59,72.20,38.85
3-November-2022,2423.40,2473.00,2408.25,2455.90,2450.960189199842333464,10148,1306,24872344.00,1813,17.87,64.75,32.50
2-November-2022,2426.15,2452.00,2415.85,2439.95,2435.202415359207266721,9688,1058,23592241.00,3126,32.27,36.15,13.80
1-November-2022,2400.00,2435.00,2384.80,2427.10,2410.624341412012644889,28470,2706,68630475.00,12901,45.31,50.20,27.10
31-October-2022,2335.00,2396.00,2328.50,2390.35,2369.611075245678215336,13941,1373,33034748.00,5802,41.62,67.50,55.35
28-October-2022,2321.45,2329.00,2283.70,2324.30,2314.264910764224335180,19667,2079,45514648.00,8815,44.82,45.30,2.85
27-October-2022,2255.00,2316.50,2251.45,2313.05,2290.474985371562317144,13672,1453,31315374.00,4997,36.55,65.05,58.05
25-October-2022,2259.75,2278.20,2242.60,2245.25,2257.682990243379436045,74616,786,168459274.00,68954,92.41,35.60,-14.50
24-October-2022,2259.95,2277.50,2253.00,2256.40,2263.826446280991735537,1694,254,3834922.00,764,45.10,24.50,-3.55
21-October-2022,2281.90,2300.00,2241.60,2256.25,2262.115109185748386526,11311,970,25586784.00,3492,30.87,58.40,-25.65
20-October-2022,2240.40,2294.05,2235.20,2286.80,2267.106497282265200353,15822,1445,35870159.00,6366,40.24,58.85,46.40
19-October-2022,2219.70,2257.25,2213.25,2245.95,2238.833639596917605216,33740,3097,75538247.00,15644,46.37,44.00,26.25
18-October-2022,2259.95,2292.25,2216.05,2219.70,2245.135594290766704559,47502,3487,106648431.00,9678,20.37,76.20,-40.25
17-October-2022,2226.05,2284.75,2206.00,2269.70,2245.804706848701322945,160702,5692,360905308.00,112265,69.86,78.75,43.65
14-October-2022,2270.85,2284.75,2237.70,2245.15,2260.895390070921985815,12408,1391,28053190.00,2360,19.02,47.05,-25.70
13-October-2022,2316.30,2317.35,2244.10,2252.00,2264.307090258783925941,23765,2150,53811258.00,4387,18.46,73.25,-64.30
12-October-2022,2311.00,2338.60,2283.35,2316.30,2308.274019224578025111,21743,2382,50188802.00,2446,11.25,55.25,5.30
11-October-2022,2368.00,2377.10,2306.70,2311.55,2365.827428718874983873,116265,2074,275062926.00,106093,91.25,70.40,-56.45
10-October-2022,2355.80,2399.15,2351.05,2370.25,2372.342367843747788549,14131,2210,33523570.00,3158,22.35,48.10,14.45
7-October-2022,2360.25,2400.00,2349.35,2385.80,2377.323767605633802816,22720,2048,54012796.00,5769,25.39,50.65,25.55
6-October-2022,2370.00,2397.95,2345.00,2381.75,2377.248991472195271408,19583,2321,46553667.00,4781,24.41,52.95,11.75
4-October-2022,2338.05,2373.20,2298.50,2358.85,2345.020695530166366005,19956,2242,46797233.00,4654,23.32,74.70,20.80
3-October-2022,2412.00,2433.95,2280.00,2296.80,2362.050467773344409189,73433,5665,173452452.00,13767,18.75,153.95,-115.20
30-September-2022,2365.00,2426.35,2356.00,2408.55,2396.574663915664592669,62038,4836,148678699.00,13887,22.38,70.35,43.55
29-September-2022,2368.35,2384.00,2321.50,2377.80,2357.159833339168796610,28561,2307,67322842.00,5633,19.72,62.50,9.45
28-September-2022,2350.00,2408.30,2326.65,2348.70,2372.430202650038971161,51320,4060,121753118.00,9618,18.74,81.65,-1.30
27-September-2022,2390.00,2403.80,2313.65,2375.65,2365.048810185950723809,66523,5959,157330142.00,10948,16.46,90.15,-14.35
26-September-2022,2464.00,2475.85,2350.05,2378.85,2402.324796214867957520,38889,3940,93424009.00,6672,17.16,125.80,-85.15
23-September-2022,2566.00,2585.00,2472.25,2488.50,2527.540218797788495471,42505,4565,107433097.00,6832,16.07,112.75,-77.50
22-September-2022,2496.60,2578.90,2459.30,2556.85,2535.159587597339478598,91561,7840,232121747.00,23413,25.57,119.60,60.25
21-September-2022,2700.00,2713.70,2523.25,2530.70,2601.040349462365591397,111600,10954,290276103.00,23322,20.90,190.45,-169.30
20-September-2022,2675.05,2760.00,2656.65,2725.70,2708.690276013084263739,73982,7101,200394324.00,22211,30.02,103.35,50.65
19-September-2022,2620.00,2721.35,2577.30,2643.00,2642.951789350497366881,213625,11468,564600576.00,84227,39.43,144.05,23.00
16-September-2022,2749.60,2753.25,2560.40,2614.80,2661.322848678697463618,84727,7957,225485901.00,17068,20.14,192.85,-134.80
15-September-2022,2760.00,2773.50,2683.65,2749.60,2726.142483369053914882,71854,8346,195884242.00,17114,23.82,89.85,-10.40
14-September-2022,2550.00,2784.95,2539.00,2743.55,2675.018606440691008425,129955,12685,347632043.00,24518,18.87,245.95,193.55
13-September-2022,2510.00,2591.40,2510.00,2573.25,2560.767714528462192013,76505,7504,195911534.00,22705,29.68,81.40,63.25
12-September-2022,2365.00,2514.00,2341.95,2502.70,2446.929936891685525565,54351,6273,132993089.00,9676,17.80,172.05,137.70
9-September-2022,2450.00,2506.15,2352.45,2365.00,2436.144092894428464898,46935,4591,114340423.00,10185,21.70,153.70,-85.00
8-September-2022,2410.05,2452.40,2403.55,2420.30,2425.408189268236179885,34533,4317,83756621.00,12300,35.62,48.85,10.25
7-September-2022,2320.10,2446.10,2320.10,2406.20,2407.600439470038101835,92384,9293,222423759.00,21174,22.92,126.00,86.10
6-September-2022,2292.15,2353.00,2279.95,2336.20,2313.162267163384779137,18790,2697,43464319.00,8549,45.50,73.05,44.05
5-September-2022,2296.00,2306.60,2284.00,2288.40,2291.820150414937759336,7712,804,17674517.00,1991,25.82,22.60,-7.60
2-September-2022,2297.50,2303.45,2275.90,2288.55,2289.549842030722300904,18358,2230,42031556.00,3498,19.05,27.55,-8.95
1-September-2022,2301.00,2313.95,2290.00,2297.20,2298.556214865708931917,3202,689,7359977.00,802,25.05,23.95,-3.80
